userName,content,score,time
campur an,"masa baru daftar akun langsung di suruh bayar anggota, udah di aplikasi nya gabisa login. tolol",1,10/16/2025 21:38
Siti Fakhirah Qorrian,kualitas nya bagus,5,10/16/2025 21:14
Agus Marwanto,memuaskan,5,10/16/2025 19:22
Amir Silaen,makasih terbayar nostalgia aku,5,10/16/2025 17:12
Nurkafi 99,aplikasinya bagussih tap111111 lebih ba9us kalo gak pake email dan kata sandi!!!!!,1,10/16/2025 17:09
Asep Zainal Muttaqin,"Kita ini ga punya waktu, sekalinya punya waktu mau nonton malah akun nya logout sendiri begitu mau masuk ada notifikasi terlalu banyak percobaan masuk, terlalu banyak dari mana orang cuma sekali. 186rb menguap sia2",1,10/16/2025 17:04
Ayesha Azaria Saputra,gabisa login,1,10/16/2025 16:21
XGamerz,"netflik knapa ya... voice nya kecil, giliran sfx nya gede bngt, toling d perbaiki ini..smua filmnya kaya gini",4,10/16/2025 14:16
Anjing SnackVidio,aplikasi binatang ribet kali bah,1,10/16/2025 11:02
Dewi Riski,terlalu banyak film korea,4,10/16/2025 0:06
nico qivo,great,5,10/15/2025 23:44
Copeiy Copiey,gak niat,1,10/15/2025 23:35
Muhammad Ichwan,good,5,10/15/2025 23:35
Cinta Novelia Rosa,jujur kenapa tiba-tiba ngestuck gak bisa play tontonan deh?? udah di perbarui padahal apknya masih gak bisa bisa,3,10/15/2025 21:41
Iqi Gans,apaan prabayar daftar akunnya,1,10/15/2025 21:13
SMAN 1 Cineam,susah banget skrg harus update household terus tiap mau nonton,1,10/15/2025 17:47
Muhammad Angger Maulana,aplikasi gjelas,1,10/15/2025 17:04
Ynz,bikin males banget conan di Bstation malah dihapus gegara aplikasi satu ini,1,10/15/2025 16:46
Vian Nur,jelek banget gua gak rekomendasiin bagusn lok-lok,1,10/15/2025 16:30
Zahra ajah,apaan nih dulu perasaan gratis kok sekarang bayar? mending nonton ke bioskop dah. mau nonton gratis juga harus bayar sih,1,10/15/2025 16:14
Putri Aja,fidio nya gak lengkap,1,10/15/2025 14:39
Andreas Timbul parasian,tak bole guna,1,10/15/2025 14:28
Abit Kurnia,udah langganan gabisa login jangan di download dah parahh,1,10/15/2025 14:16
Alfian Damiansyah,"boros baterai, padahal udah pakai penghemat baterai",5,10/15/2025 12:12
Reja Adi permana,"ini knp ya netflix saya muter trs pas mau nonton, padahal jaringan bagus memo banyak hp g lemot,, aneh, bikin rugi aja percuma gua langgan ujung² nya g kepake 👎",2,10/15/2025 12:02
Yogi Manurung97,sudah berhenti berlangganan tapi saldo masih kepotong 👎,1,10/15/2025 10:29
Injuriss Aza,stuckkk dilogo netflix tidak bisa masuk ke akun pdhl bru byr 65rb :(,1,10/15/2025 8:19
Yana Elizabeth,"sudah berlangganan rupanya tidak bisa dipakai😭 bagaimana ini. mau nonton, yang muncul hanya ""memuat"" padahal jaringan oke.",1,10/15/2025 6:32
Master Apace,keren,5,10/15/2025 6:10
Ratno ROFIK,Sering bug system,1,10/15/2025 1:55
Jisoo Sooyaaa,Netflix anjg sinyal gua bagus banget lohh knp Ngelag banget pas nonton film di elu buka tiktok lancar jaya di dk elu ngelag banget,2,10/15/2025 0:05
Adelvyna aulia putri,"udah daftar tapi di blg sandi salah trs,ga bisa login,daftar ulang malah di suryh bayar,udah di bayar malah ttp ga bisaa cmn di buat muter muterr",1,10/14/2025 23:56
Mus Min,susah login.langganan super mahal,1,10/14/2025 23:36
Mohamad Nasrun,menghibur,5,10/14/2025 22:56
Jaka Oppo,bintang🌟net,1,10/14/2025 21:03
