username,content,score,at,sentimen
Siti Fakhirah Qorrian,kualitas nya bagus,5,10/16/2025 21:14,Netral
Agus Marwanto,memuaskan,5,10/16/2025 21:14,Netral
Amir Silaen,makasih terbayar nostalgia aku,5,10/16/2025 19:22,Netral
nico qivo,great,5,10/15/2025 23:44,Netral
Muhammad Ichwan,good,5,10/15/2025 23:35,Netral
Cinta Novelia Rosa,jujur kenapa tiba-tiba ngestuck gak bisa play tontonan deh?? udah di perbarui padahal apknya masih gak bisa bisa,3,10/15/2025 21:41,Netral
Xgamerz,"netflik knapa ya... voice nya kecil, giliran sfx nya gede bngt, toling d perbaiki ini..smua filmnya kaya gini",4,10/16/2025 14:16,Netral
Dewi Riski,terlalu banyak film korea,4,10/16/2025 0:06,Netral
Krisman Batubara,mantap,5,10/12/2025 17:36,Netral
putu widiantara,ribet settingan ke smart tv,4,10/12/2025 11:45,Netral
Fina Fina,tempat nonton film yang sangat pas,4,10/12/2025 7:35,Netral
Rini Anugrah86,bagus banget,5,10/12/2025 1:31,Netral
Mujib Syawaludin,susah masuk apalah ini aplikasi,5,10/11/2025 21:50,Netral
Subhan Muhammad,mantap,5,10/11/2025 20:18,Netral
ilhamuddin Qosim,good,5,10/10/2025 11:10,Netral
mobile legends,bagus vidio vidio nya?,5,10/10/2025 6:40,Netral
I Nyoman Ronal,top,5,10/10/2025 2:11,Netral
Iman Player,film bagus,5,10/10/2025 1:08,Netral
zafranrazaq Pratama,akhirnya bisa nonton anime dengan legal,5,10/9/2025 22:29,Netral
Sri Mulyani,mantap,5,10/9/2025 11:32,Netral
Mirza Mirzaa,bagussss film nyaaa,5,10/9/2025 11:26,Netral
berkah usahabersama,bagus,5,10/8/2025 22:28,Netral
Fuji Setiawan,fujisetiawan,5,10/8/2025 21:25,Netral
jua akbar,sangat baik untuk menonton film,5,10/8/2025 20:17,Netral
Dedi Kenedi Channel,Ga jln aplikasinyav,4,10/8/2025 18:56,Netral
larry setiawan,sudah lebih baik sekarang,3,10/8/2025 14:38,Netral
